crop,variable,bin_lo,bin_hi,bin_mid,mean_delta,n_pixels
Winter Rape,slope,55.51,66.62,61.06,0.0,72
Winter Rape,slope,66.62,78.0,72.31,0.0,18
Spring Rape,slope,0.0,11.1,5.55,0.04585,398
Spring Rape,slope,11.1,22.21,16.65,0.07021,428
Spring Rape,slope,22.21,33.31,27.76,0.01794,393
Spring Rape,slope,33.31,44.41,38.86,0.0,269
Spring Rape,slope,44.41,55.51,49.96,0.0,168
Spring Rape,slope,55.51,66.62,61.06,0.0,72
Spring Rape,slope,66.62,78.0,72.31,0.0,18
OVERALL,slope,0.0,11.1,5.55,0.01106,398
OVERALL,slope,11.1,22.21,16.65,0.01523,428
OVERALL,slope,22.21,33.31,27.76,0.00508,393
OVERALL,slope,33.31,44.41,38.86,0.0,269
OVERALL,slope,44.41,55.51,49.96,0.0,168
OVERALL,slope,55.51,66.62,61.06,0.0,72
OVERALL,slope,66.62,78.0,72.31,0.0,18
