crop,variable,bin_lo,bin_hi,bin_mid,mean_delta,n_pixels
Dry Pea,slope,0.0,11.06,5.53,0.0,162
Dry Pea,slope,11.06,22.13,16.6,0.0,207
Dry Pea,slope,22.13,33.19,27.66,0.0,226
Dry Pea,slope,33.19,44.26,38.73,0.0,159
Dry Pea,slope,44.26,55.32,49.79,0.0,111
Dry Pea,slope,55.32,66.39,60.86,0.0,43
Dry Pea,slope,66.39,78.0,72.19,0.0,10
Winter Rape,slope,0.0,11.06,5.53,0.0,162
Winter Rape,slope,11.06,22.13,16.6,0.0,207
Winter Rape,slope,22.13,33.19,27.66,-0.00022,226
Winter Rape,slope,33.19,44.26,38.73,0.0,159
Winter Rape,slope,44.26,55.32,49.79,0.0,111
Winter Rape,slope,55.32,66.39,60.86,0.0,43
Winter Rape,slope,66.39,78.0,72.19,0.0,10
Spring Rape,slope,0.0,11.06,5.53,0.09198,162
Spring Rape,slope,11.06,22.13,16.6,0.03961,207
Spring Rape,slope,22.13,33.19,27.66,0.01394,226
Spring Rape,slope,33.19,44.26,38.73,0.0,159
Spring Rape,slope,44.26,55.32,49.79,0.0,111
Spring Rape,slope,55.32,66.39,60.86,0.0,43
Spring Rape,slope,66.39,78.0,72.19,0.0,10
OVERALL,slope,0.0,11.06,5.53,0.01272,162
OVERALL,slope,11.06,22.13,16.6,0.00616,207
OVERALL,slope,22.13,33.19,27.66,0.00372,226
OVERALL,slope,33.19,44.26,38.73,0.0,159
OVERALL,slope,44.26,55.32,49.79,0.0,111
OVERALL,slope,55.32,66.39,60.86,0.0,43
OVERALL,slope,66.39,78.0,72.19,0.0,10
