analysis,crop,clim_var,metric,spearman_r,p_value,significant,n_pixels,n_years
spatial,Spring Barley,temp_min,mean,0.0897,0.0002,True,1768.0,
spatial,Winter Wheat,temp_min,mean,0.1074,0.0,True,1768.0,
spatial,Spring Wheat,temp_min,mean,0.0897,0.0002,True,1768.0,
spatial,Silage Maize,temp_min,mean,0.1388,0.0,True,1768.0,
spatial,White Potato,temp_min,mean,0.0801,0.0008,True,1768.0,
spatial,Oat,temp_min,mean,0.1808,0.0,True,1768.0,
spatial,Dry Pea,temp_min,mean,0.0698,0.0033,True,1768.0,
spatial,Winter Rape,temp_min,mean,-0.1475,0.0,True,1768.0,
spatial,Spring Rape,temp_min,mean,0.0733,0.0021,True,1768.0,
spatial,OVERALL,temp_min,mean,0.1093,0.0,True,1768.0,
spatial,Winter Barley,temp_min,change,0.07,0.0032,True,1768.0,
spatial,Spring Barley,temp_min,change,0.0067,0.7783,False,1768.0,
spatial,Winter Wheat,temp_min,change,0.071,0.0028,True,1768.0,
spatial,Spring Wheat,temp_min,change,0.0066,0.7826,False,1768.0,
spatial,Silage Maize,temp_min,change,-0.0732,0.0021,True,1768.0,
spatial,White Potato,temp_min,change,-0.1137,0.0,True,1768.0,
spatial,Oat,temp_min,change,0.0127,0.5926,False,1768.0,
spatial,Dry Pea,temp_min,change,-0.0124,0.6026,False,1768.0,
spatial,Winter Rape,temp_min,change,-0.0167,0.4829,False,1768.0,
spatial,Spring Rape,temp_min,change,-0.1336,0.0,True,1768.0,
spatial,OVERALL,temp_min,change,-0.0871,0.0002,True,1768.0,
spatial,Winter Barley,temp_mean,mean,,,False,1768.0,
spatial,Spring Barley,temp_mean,mean,,,False,1768.0,
spatial,Winter Wheat,temp_mean,mean,,,False,1768.0,
spatial,Spring Wheat,temp_mean,mean,,,False,1768.0,
spatial,Silage Maize,temp_mean,mean,,,False,1768.0,
spatial,White Potato,temp_mean,mean,,,False,1768.0,
spatial,Oat,temp_mean,mean,,,False,1768.0,
spatial,Dry Pea,temp_mean,mean,,,False,1768.0,
spatial,Winter Rape,temp_mean,mean,,,False,1768.0,
spatial,Spring Rape,temp_mean,mean,,,False,1768.0,
spatial,OVERALL,temp_mean,mean,,,False,1768.0,
spatial,Winter Barley,temp_mean,change,-0.1037,0.0,True,1768.0,
spatial,Spring Barley,temp_mean,change,-0.0893,0.0002,True,1768.0,
spatial,Winter Wheat,temp_mean,change,-0.1011,0.0,True,1768.0,
spatial,Spring Wheat,temp_mean,change,-0.0893,0.0002,True,1768.0,
spatial,Silage Maize,temp_mean,change,-0.1547,0.0,True,1768.0,
spatial,White Potato,temp_mean,change,-0.0904,0.0001,True,1768.0,
spatial,Oat,temp_mean,change,-0.1696,0.0,True,1768.0,
spatial,Dry Pea,temp_mean,change,-0.0714,0.0027,True,1768.0,
spatial,Winter Rape,temp_mean,change,0.1443,0.0,True,1768.0,
spatial,Spring Rape,temp_mean,change,-0.0896,0.0002,True,1768.0,
spatial,OVERALL,temp_mean,change,-0.1204,0.0,True,1768.0,
temporal,Winter Barley,precip,annual_mean,-0.0354,0.8824,False,,20.0
temporal,Spring Barley,precip,annual_mean,0.1738,0.4637,False,,20.0
temporal,Winter Wheat,precip,annual_mean,-0.0406,0.865,False,,20.0
temporal,Spring Wheat,precip,annual_mean,0.1,0.6747,False,,20.0
temporal,Silage Maize,precip,annual_mean,0.2501,0.2876,False,,20.0
temporal,White Potato,precip,annual_mean,0.5207,0.0186,True,,20.0
temporal,Oat,precip,annual_mean,0.0947,0.6912,False,,20.0
temporal,Dry Pea,precip,annual_mean,0.2577,0.2728,False,,20.0
temporal,Winter Rape,precip,annual_mean,0.0444,0.8526,False,,20.0
temporal,Spring Rape,precip,annual_mean,0.5654,0.0094,True,,20.0
temporal,OVERALL,precip,annual_mean,0.1398,0.5565,False,,20.0
temporal,Winter Barley,temp_max,annual_mean,-0.3069,0.1881,False,,20.0
temporal,Spring Barley,temp_max,annual_mean,-0.0816,0.7325,False,,20.0
temporal,Winter Wheat,temp_max,annual_mean,-0.3098,0.1838,False,,20.0
temporal,Spring Wheat,temp_max,annual_mean,-0.028,0.9066,False,,20.0
temporal,Silage Maize,temp_max,annual_mean,-0.2087,0.3773,False,,20.0
temporal,White Potato,temp_max,annual_mean,0.0128,0.9573,False,,20.0
temporal,Oat,temp_max,annual_mean,-0.1684,0.4778,False,,20.0
temporal,Dry Pea,temp_max,annual_mean,-0.2357,0.317,False,,20.0
temporal,Winter Rape,temp_max,annual_mean,-0.1873,0.4291,False,,20.0
temporal,Spring Rape,temp_max,annual_mean,-0.1308,0.5825,False,,20.0
temporal,OVERALL,temp_max,annual_mean,-0.3368,0.1464,False,,20.0
temporal,Winter Barley,temp_min,annual_mean,0.0835,0.7264,False,,20.0
temporal,Spring Barley,temp_min,annual_mean,-0.1464,0.5381,False,,20.0
temporal,Winter Wheat,temp_min,annual_mean,0.0797,0.7384,False,,20.0
temporal,Spring Wheat,temp_min,annual_mean,-0.1455,0.5405,False,,20.0
temporal,Silage Maize,temp_min,annual_mean,-0.3412,0.1409,False,,20.0
temporal,White Potato,temp_min,annual_mean,-0.2739,0.2426,False,,20.0
temporal,Oat,temp_min,annual_mean,0.1113,0.6405,False,,20.0
temporal,Dry Pea,temp_min,annual_mean,-0.3876,0.0913,False,,20.0
temporal,Winter Rape,temp_min,annual_mean,-0.2399,0.3082,False,,20.0
temporal,Spring Rape,temp_min,annual_mean,-0.4872,0.0293,True,,20.0
temporal,OVERALL,temp_min,annual_mean,-0.0481,0.8403,False,,20.0
temporal,Winter Barley,temp_mean,annual_mean,,,False,,20.0
temporal,Spring Barley,temp_mean,annual_mean,,,False,,20.0
temporal,Winter Wheat,temp_mean,annual_mean,,,False,,20.0
temporal,Spring Wheat,temp_mean,annual_mean,,,False,,20.0
temporal,Silage Maize,temp_mean,annual_mean,,,False,,20.0
temporal,White Potato,temp_mean,annual_mean,,,False,,20.0
temporal,Oat,temp_mean,annual_mean,,,False,,20.0
temporal,Dry Pea,temp_mean,annual_mean,,,False,,20.0
temporal,Winter Rape,temp_mean,annual_mean,,,False,,20.0
temporal,Spring Rape,temp_mean,annual_mean,,,False,,20.0
temporal,OVERALL,temp_mean,annual_mean,,,False,,20.0
